fecha,datatype,station,value,fl_m,fl_q,fl_so,fl_t,units
2016-01-01,PRCP,GHCND:AR000875850,0,,,S,,mm_tenths
2016-01-02,PRCP,GHCND:AR000875850,180,,,S,,mm_tenths
2016-01-03,PRCP,GHCND:AR000875850,0,,,S,,mm_tenths
2016-01-05,PRCP,GHCND:AR000875850,10,,,S,,mm_tenths
2016-01-06,PRCP,GHCND:AR000875850,0,,,S,,mm_tenths
2016-01-08,PRCP,GHCND:AR000875850,0,,,S,,mm_tenths
2016-01-11,PRCP,GHCND:AR000875850,20,,,S,,mm_tenths
2016-01-12,PRCP,GHCND:AR000875850,0,,,S,,mm_tenths
2016-01-13,PRCP,GHCND:AR000875850,0,,,S,,mm_tenths
2016-01-21,PRCP,GHCND:AR000875850,0,,,S,,mm_tenths
2016-01-23,PRCP,GHCND:AR000875850,41,,,S,,mm_tenths
2016-01-24,PRCP,GHCND:AR000875850,0,,,S,,mm_tenths
2016-01-25,PRCP,GHCND:AR000875850,71,,,S,,mm_tenths
2016-01-26,PRCP,GHCND:AR000875850,0,,,S,,mm_tenths
2016-01-29,PRCP,GHCND:AR000875850,0,,,S,,mm_tenths
2016-01-30,PRCP,GHCND:AR000875850,30,,,S,,mm_tenths
2016-01-31,PRCP,GHCND:AR000875850,0,,,S,,mm_tenths
2016-02-08,PRCP,GHCND:AR000875850,399,,,S,,mm_tenths
2016-02-09,PRCP,GHCND:AR000875850,99,,,S,,mm_tenths
2016-02-10,PRCP,GHCND:AR000875850,0,,,S,,mm_tenths
2016-02-13,PRCP,GHCND:AR000875850,450,,,S,,mm_tenths
2016-02-14,PRCP,GHCND:AR000875850,0,,,S,,mm_tenths
2016-02-17,PRCP,GHCND:AR000875850,391,,,S,,mm_tenths
2016-02-18,PRCP,GHCND:AR000875850,0,,,S,,mm_tenths
2016-02-19,PRCP,GHCND:AR000875850,310,,,S,,mm_tenths
2016-02-20,PRCP,GHCND:AR000875850,30,,,S,,mm_tenths
2016-02-21,PRCP,GHCND:AR000875850,0,,,S,,mm_tenths
2016-02-26,PRCP,GHCND:AR000875850,71,,,S,,mm_tenths
2016-02-27,PRCP,GHCND:AR000875850,150,,,S,,mm_tenths
2016-02-28,PRCP,GHCND:AR000875850,0,,,S,,mm_tenths
2016-03-01,PRCP,GHCND:AR000875850,41,,,S,,mm_tenths
2016-03-02,PRCP,GHCND:AR000875850,0,,,S,,mm_tenths
2016-03-05,PRCP,GHCND:AR000875850,30,,,S,,mm_tenths
2016-03-06,PRCP,GHCND:AR000875850,0,,,S,,mm_tenths
2016-03-11,PRCP,GHCND:AR000875850,3,,,S,,mm_tenths
2016-03-12,PRCP,GHCND:AR000875850,0,,,S,,mm_tenths
2016-03-18,PRCP,GHCND:AR000875850,279,,,S,,mm_tenths
2016-03-19,PRCP,GHCND:AR000875850,10,,,S,,mm_tenths
2016-03-20,PRCP,GHCND:AR000875850,0,,,S,,mm_tenths
2016-03-21,PRCP,GHCND:AR000875850,109,,,S,,mm_tenths
2016-03-22,PRCP,GHCND:AR000875850,0,,,S,,mm_tenths
2016-04-02,PRCP,GHCND:AR000875850,521,,,S,,mm_tenths
