fecha,cantidad_fecha
2018-01-01,104473
2018-01-02,871239
2018-01-03,939971
2018-01-04,900927
2018-01-05,923053
2018-01-06,388098
2018-01-07,198271
2018-01-08,927668
2018-01-09,938878
2018-01-10,945222
2018-01-11,905086
2018-01-12,890514
2018-01-13,347796
2018-01-14,182303
2018-01-15,932960
2018-01-16,943915
2018-01-17,928588
2018-01-18,932740
2018-01-19,920447
2018-01-20,368901
2018-01-21,196796
2018-01-22,873662
2018-01-23,893897
2018-01-24,944529
2018-01-25,951793
2018-01-26,924420
2018-01-27,367511
2018-01-28,195524
2018-01-29,918302
2018-01-30,959721
2018-01-31,949168
2018-02-01,990498
2018-02-02,975118
2018-02-03,399069
2018-02-04,206786
2018-02-05,992111
2018-02-06,988492
2018-02-07,1025903
2018-02-08,1015579
2018-02-09,965664
2018-02-10,396491
2018-02-11,224254
2018-02-12,235618
2018-02-13,231913
2018-02-14,1067207
2018-02-15,1080237
2018-02-16,1053833
2018-02-17,402006
2018-02-18,200590
2018-02-19,1006397
2018-02-20,1064278
2018-02-21,1058789
2018-02-22,1145038
2018-02-23,1106538
2018-02-24,429346
2018-02-25,218234
2018-02-26,1093795
2018-02-27,1108759
2018-02-28,1136954
2018-03-01,1148755
2018-03-02,1152900
2018-03-03,453063
2018-03-04,231666
2018-03-05,1152297
2018-03-06,1174180
2018-03-07,1212458
2018-03-08,1321359
2018-03-09,1216658
2018-03-10,503527
2018-03-11,255797
2018-03-12,1223078
2018-03-13,1121958
2018-03-14,1187236
2018-03-15,1276379
2018-03-16,1265609
2018-03-17,495626
2018-03-18,204547
2018-03-19,1139017
2018-03-20,1296218
2018-03-21,1270755
2018-03-22,1291512
2018-03-23,1262513
2018-03-24,519365
2018-03-25,263471
2018-03-26,1281125
2018-03-27,1295215
2018-03-28,1346795
2018-03-29,534990
2018-03-30,280974
2018-03-31,402480
2018-04-01,230046
2018-04-02,249311
2018-04-03,1279155
2018-04-04,1320244
2018-04-05,1344527
2018-04-06,1080738
2018-04-07,512142
2018-04-08,229427
2018-04-09,1323146
2018-04-10,1337771
2018-04-11,1318598
2018-04-12,1374079
2018-04-13,1337310
2018-04-14,574089
2018-04-15,281260
2018-04-16,1284875
2018-04-17,1273578
2018-04-18,1301284
2018-04-19,1339921
2018-04-20,1259759
2018-04-21,530070
2018-04-22,268777
2018-04-23,1257449
2018-04-24,1333689
2018-04-25,1345977
2018-04-26,1321430
2018-04-27,1321124
2018-04-28,480022
2018-04-29,167452
2018-04-30,462175
2018-05-01,211119
2018-05-02,1278888
2018-05-03,1345509
2018-05-04,1332368
2018-05-05,539477
2018-05-06,265877
2018-05-07,1276895
2018-05-08,1264680
2018-05-09,1336282
2018-05-10,1247026
2018-05-11,1270620
2018-05-12,583167
2018-05-13,283746
2018-05-14,1261032
2018-05-15,1335808
2018-05-16,1076270
2018-05-17,1231489
2018-05-18,1058411
2018-05-19,555068
2018-05-20,287128
2018-05-21,1268688
2018-05-22,391027
2018-05-23,1187342
2018-05-24,1323847
2018-05-25,390274
2018-05-26,502551
2018-05-27,262090
2018-05-28,1238676
2018-05-29,1256189
2018-05-30,1266051
2018-05-31,1307523
2018-06-01,1350906
2018-06-02,572744
2018-06-03,273875
2018-06-04,1335064
2018-06-05,1308996
2018-06-06,1347781
2018-06-07,1348336
2018-06-08,1350623
2018-06-09,592675
2018-06-10,262130
2018-06-11,1301135
2018-06-12,1298464
2018-06-13,1492227
2018-06-14,1162545
2018-06-15,1332960
2018-06-16,478225
2018-06-17,255709
2018-06-18,1303917
2018-06-19,1363774
2018-06-20,322458
2018-06-21,1245747
2018-06-22,1344028
2018-06-23,569644
2018-06-24,267791
2018-06-25,4
2018-06-26,1248826
2018-06-27,1283689
2018-06-28,1348692
2018-06-29,1344611
2018-06-30,455916
2018-07-01,242316
2018-07-02,1287926
2018-07-03,1317318
2018-07-04,1317070
2018-07-05,1359449
2018-07-06,1345817
2018-07-07,525274
2018-07-08,317115
2018-07-09,324055
2018-07-10,1332994
2018-07-11,1319022
2018-07-12,1363201
2018-07-13,1348948
2018-07-14,592096
2018-07-15,303381
2018-07-16,1223318
2018-07-17,1217557
2018-07-18,1217520
2018-07-19,1017598
2018-07-20,1229799
2018-07-21,556640
2018-07-22,315798
2018-07-23,1124406
2018-07-24,1196305
2018-07-25,1156097
2018-07-26,1130172
2018-07-27,1153530
2018-07-28,502652
2018-07-29,280103
2018-07-30,1219720
2018-07-31,1251667
2018-08-01,1300071
2018-08-02,1288901
2018-08-03,1259134
2018-08-04,584598
2018-08-05,300196
2018-08-06,1262618
2018-08-07,1344466
2018-08-08,1513108
2018-08-09,1257594
2018-08-10,1330232
2018-08-11,553186
2018-08-12,299486
2018-08-13,1299965
2018-08-14,1345367
2018-08-15,1299404
2018-08-16,1345193
2018-08-17,1193682
2018-08-18,527499
2018-08-19,295140
2018-08-20,284436
2018-08-21,1316226
2018-08-22,1340013
2018-08-23,1331252
2018-08-24,1312099
2018-08-25,550847
2018-08-26,288017
2018-08-27,1289492
2018-08-28,1319461
2018-08-29,1326323
2018-08-30,1400817
2018-08-31,738527
2018-09-01,524991
2018-09-02,275882
2018-09-03,1274963
2018-09-04,1279067
2018-09-05,1294349
2018-09-06,1343051
2018-09-07,1345717
2018-09-08,579546
2018-09-09,277217
2018-09-10,1254698
2018-09-11,1262252
2018-09-12,1290300
2018-09-13,1337010
2018-09-14,1288901
2018-09-15,512880
2018-09-16,244049
2018-09-17,1271472
2018-09-18,1291096
2018-09-19,1265790
2018-09-20,1332490
2018-09-21,1195417
2018-09-22,487429
2018-09-23,260150
2018-09-24,1104677
2018-09-25,2
2018-09-26,1352742
2018-09-27,1317313
2018-09-28,1313668
2018-09-29,372470
2018-09-30,249434
2018-10-01,1276542
2018-10-02,1284064
2018-10-03,1318075
2018-10-04,1372036
2018-10-05,1367723
2018-10-06,639128
2018-10-07,293014
2018-10-08,1275179
2018-10-09,1305543
2018-10-10,1316915
2018-10-11,1311492
2018-10-12,1286410
2018-10-13,539587
2018-10-14,298550
2018-10-15,279532
2018-10-16,1287849
2018-10-17,1268705
2018-10-18,1312520
2018-10-19,1282315
2018-10-20,529350
2018-10-21,242070
2018-10-22,1220529
2018-10-23,1298824
2018-10-24,1274640
2018-10-25,1297209
2018-10-26,1274037
2018-10-27,536287
2018-10-28,282070
2018-10-29,1227328
2018-10-30,1235624
2018-10-31,303786
2018-11-01,1295080
2018-11-02,1274985
2018-11-03,552828
2018-11-04,280471
2018-11-05,1247948
2018-11-06,1229127
2018-11-07,1330711
2018-11-08,1320931
2018-11-09,1291700
2018-11-10,311608
2018-11-11,226427
2018-11-12,1218790
2018-11-13,1235961
2018-11-14,1288379
2018-11-15,1233782
2018-11-16,1261722
2018-11-17,552066
2018-11-18,296343
2018-11-19,291662
2018-11-20,1267267
2018-11-21,1287432
2018-11-22,1253724
2018-11-23,1265066
2018-11-24,440489
2018-11-25,241030
2018-11-26,1228489
2018-11-27,1103934
2018-11-28,1293952
2018-11-29,837364
2018-11-30,1
2018-12-01,5
2018-12-02,200814
2018-12-03,1221011
2018-12-04,1258777
2018-12-05,1308591
2018-12-06,1313978
2018-12-07,1272272
2018-12-08,460596
2018-12-09,256348
2018-12-10,1234634
2018-12-11,1177868
2018-12-12,1279840
2018-12-13,1144426
2018-12-14,1210958
2018-12-15,561755
2018-12-16,280217
2018-12-17,1124079
2018-12-18,1286848
2018-12-19,1273885
2018-12-20,1156762
2018-12-21,1264072
2018-12-22,549007
2018-12-23,272638
2018-12-24,317071
2018-12-25,111316
2018-12-26,1025972
2018-12-27,1067163
2018-12-28,1010613
2018-12-29,367497
2018-12-30,212514
2018-12-31,260714
